gender,state,age,income,imp.challenge,imp.unlocks,imp.customize,imp.difficulty,imp.characters,imp.storyline,imp.mastery,imp.backstory,imp.dominate,imp.completion,imp.wealth,imp.fantasy,imp.items,imp.power,imp.offbeat,imp.collect,enj.excitement,enj.destruction,enj.others,enj.react,enj.duels,enj.strategy,enj.roleplay,enj.competition,enj.decisions,enj.common.goal,enj.planning,enj.immersion,enj.helping,enj.fast,enj.guns,enj.gore,enj.blow.up,freq.explore,freq.experiment,freq.study,freq.char.creation,freq.stats,freq.customize,freq.test.world,gg.game.presented,gg.maxprice,rank.WarriorGuild,rank.SeraphGuardians,rank.Evercrest,rank.DevilsGate,rank.Marksman,rank.QuestoftheTitan
male,IN,19,20000,4,7,5,7,5,3,3,2,5,6,3,3,1,2,2,7,5,2,6,5,2,1,2,4,1,4,2,3,3,4,1,1,2,1,2,4,4,4,3,1,Warrior Guild,42,2,3,6,4,1,5
male,OR,29,80000,5,7,1,4,2,4,5,3,4,6,4,4,3,3,5,7,3,5,4,5,6,3,5,6,3,1,3,3,3,6,5,5,4,4,4,3,1,3,1,3,Warrior Guild,59,3,1,6,4,2,5
male,MN,52,91000,4,3,3,4,5,7,3,7,1,5,4,7,7,6,3,5,3,4,4,2,2,3,6,3,2,4,4,6,5,1,2,4,4,3,5,4,3,4,2,3,Seraph Guardians,74,4,1,3,5,6,2
female,FL,20,24000,7,3,3,6,5,4,7,3,6,2,1,4,5,3,4,3,5,2,6,4,7,7,4,6,7,5,7,4,5,1,2,1,4,4,2,7,2,1,2,3,Warrior Guild,38,3,1,4,2,5,6
female,NM,33,64000,7,6,1,7,1,2,7,1,2,7,3,1,2,4,1,5,4,6,5,4,3,5,3,2,5,2,5,3,2,4,4,1,4,3,3,7,2,4,1,3,Evercrest,42,3,2,5,4,1,6
male,CA,22,65000,3,4,1,5,1,2,4,2,3,3,1,3,1,2,2,3,3,1,4,3,2,6,3,3,6,5,5,3,4,2,2,1,2,2,2,5,1,2,1,3,Seraph Guardians,53,4,1,5,2,3,6
male,OR,26,77000,7,3,4,7,2,3,6,2,7,4,2,1,4,6,4,3,3,2,5,5,6,5,3,7,6,4,6,4,4,5,1,2,3,4,5,7,2,4,4,3,Evercrest,,1,2,4,3,5,6
male,IN,24,35000,4,3,2,3,5,7,1,6,5,4,5,6,6,5,5,6,2,3,5,2,7,3,5,6,3,4,4,5,4,2,4,3,2,4,5,3,3,4,3,4,Seraph Guardians,42,4,1,3,5,6,2
male,ND,26,60000,4,1,3,4,7,7,5,7,4,3,3,5,6,4,3,1,4,4,6,4,4,6,3,4,4,6,5,4,6,4,1,1,2,4,2,5,2,4,1,3,Evercrest,56,5,1,2,3,6,4
male,FL,19,6000,2,3,1,1,1,1,1,2,7,5,7,2,3,2,4,4,7,7,7,7,7,1,1,6,1,5,1,2,5,5,7,7,7,4,3,2,3,1,5,2,Evercrest,15,1,6,5,2,3,4
male,AZ,18,23000,2,2,5,3,7,6,4,4,6,1,1,6,5,4,3,1,5,4,7,4,5,4,3,6,4,7,2,4,7,4,4,4,3,5,4,3,4,1,4,3,Seraph Guardians,33,2,4,1,3,6,5
female,FL,29,62000,3,7,2,5,3,4,3,4,2,7,1,3,2,2,3,7,4,2,2,4,4,1,2,1,2,1,2,4,1,2,2,3,3,2,5,3,1,1,2,3,Seraph Guardians,57,4,1,5,6,3,2
male,MA,19,23000,5,1,1,1,4,2,4,3,5,3,1,2,3,1,4,4,5,5,6,6,7,1,1,7,1,4,1,1,6,6,4,7,4,3,2,2,3,2,3,4,Evercrest,37,2,5,4,1,3,6
male,NY,35,112000,6,7,2,4,1,1,5,3,3,6,2,1,1,2,4,7,1,2,2,2,2,7,1,1,6,2,7,2,2,4,2,1,1,4,6,6,3,2,2,4,Warrior Guild,77,6,1,4,5,2,3
male,CA,22,54000,5,4,2,4,6,7,3,6,4,4,5,3,4,4,4,3,6,4,4,6,4,2,3,5,3,2,5,5,3,4,6,2,4,3,2,5,2,3,2,5,Seraph Guardians,64,5,1,4,3,6,2
female,AR,23,25000,2,4,1,1,6,5,3,7,5,6,3,5,7,6,1,4,4,6,2,2,3,3,6,3,1,2,1,3,2,3,5,5,5,2,2,1,2,4,1,2,Evercrest,37,6,1,4,3,5,2
male,UT,20,27000,3,2,5,4,5,5,3,5,4,4,4,7,7,6,4,1,3,1,4,7,6,3,4,4,3,5,3,7,6,6,3,4,2,2,4,4,4,7,5,4,Seraph Guardians,37,1,5,2,4,6,3
male,IN,22,30000,4,1,3,4,7,6,5,7,5,2,5,5,5,4,5,3,5,3,5,6,7,4,4,3,1,5,3,2,4,7,3,3,3,6,5,5,5,4,4,7,Warrior Guild,38,1,2,3,4,6,5
male,VA,25,59000,5,5,2,7,3,4,6,4,4,4,1,1,1,1,4,7,5,5,7,2,5,2,1,6,2,7,3,1,5,1,5,6,5,5,4,3,1,4,1,4,Seraph Guardians,51,3,2,6,1,4,5
female,TX,34,45000,7,6,1,7,3,1,6,2,4,6,3,3,4,3,6,6,4,3,1,6,4,5,3,2,6,4,7,3,4,5,1,4,3,5,4,7,1,5,1,4,Seraph Guardians,43,4,1,6,3,2,5
male,NY,25,60000,4,2,3,5,4,6,4,4,5,1,3,2,5,3,1,3,7,5,5,5,5,3,4,5,2,3,2,4,3,5,5,4,5,2,2,4,2,3,3,1,Warrior Guild,62,1,3,5,2,4,6
male,OH,34,47000,4,7,2,3,4,4,4,4,2,5,1,2,2,5,4,6,3,2,4,4,5,5,3,4,4,2,3,3,3,4,1,2,3,4,4,3,2,2,1,2,Evercrest,45,4,1,6,3,2,5
male,OK,27,48000,3,5,3,1,7,7,4,7,1,3,6,4,6,6,4,6,5,3,4,6,1,3,5,3,5,5,5,4,4,5,3,3,4,5,6,4,4,6,3,3,Seraph Guardians,48,6,1,3,5,4,2
female,KY,21,44000,6,2,2,7,6,6,6,3,5,1,3,2,1,2,1,1,3,1,4,6,4,7,3,4,7,6,7,3,5,4,4,2,2,1,2,6,4,5,4,3,Seraph Guardians,45,3,1,5,2,4,6
male,TX,40,89000,3,7,3,4,3,3,2,3,3,7,5,4,3,1,1,7,5,4,3,3,3,1,4,3,1,5,2,4,5,4,4,4,4,1,1,2,3,2,3,1,Evercrest,69,4,1,5,6,3,2
male,MI,20,31000,4,1,4,4,3,3,6,5,2,3,5,1,1,2,4,2,5,4,5,4,4,4,4,5,4,4,5,2,4,6,2,3,3,2,4,5,6,3,6,3,Seraph Guardians,34,1,3,5,2,4,6
female,VA,18,12000,4,6,4,3,5,5,2,4,3,6,1,3,3,3,5,5,3,2,4,3,3,2,3,3,3,3,1,3,3,3,2,4,4,5,5,3,6,3,5,3,Seraph Guardians,13,4,2,3,5,6,1
female,TX,21,43000,1,3,4,4,4,2,1,1,6,3,3,5,4,4,1,2,5,7,6,6,6,1,6,5,1,7,3,2,7,6,6,7,7,3,2,2,3,3,5,3,Warrior Guild,43,2,5,3,1,6,4
male,CA,22,13000,2,5,4,2,2,3,3,3,4,3,1,3,4,5,4,5,5,7,7,4,7,5,3,7,3,7,2,4,5,3,7,7,6,4,4,4,5,3,4,3,Seraph Guardians,18,2,5,3,1,6,4
male,MA,39,136000,7,1,3,7,3,5,4,2,2,1,4,3,3,1,3,2,4,5,3,3,3,4,3,1,2,1,4,2,3,6,4,5,5,3,4,4,2,4,2,3,Seraph Guardians,,3,1,5,4,2,6
male,TX,55,89000,5,7,4,5,4,6,5,7,1,7,5,7,6,7,5,7,1,2,1,2,2,5,6,1,3,1,4,7,1,1,3,2,3,6,4,6,5,2,5,5,Seraph Guardians,69,5,1,3,6,4,2
female,IL,24,49000,5,2,5,4,4,5,4,5,4,1,4,6,4,5,4,3,5,2,4,4,5,4,6,4,6,3,5,5,3,6,1,2,2,7,5,5,4,5,4,5,Seraph Guardians,55,4,2,1,5,6,3
female,NY,54,94000,2,3,1,3,5,5,4,5,1,3,2,1,3,2,1,3,3,4,3,3,1,3,3,1,2,1,3,2,1,4,5,6,3,1,3,6,2,1,1,1,Seraph Guardians,83,4,1,6,5,2,3
male,TX,28,62000,5,2,4,3,7,7,4,7,5,2,2,4,3,3,2,4,4,6,1,5,4,3,3,4,4,2,3,4,3,4,7,7,7,2,2,2,1,4,2,5,Evercrest,54,3,2,5,1,6,4
male,NY,18,14000,4,5,5,5,3,3,3,4,6,4,3,1,2,2,3,3,2,2,4,4,7,3,2,6,1,3,1,2,3,5,3,4,3,1,4,3,5,1,6,5,Seraph Guardians,24,1,3,5,2,6,4
male,TX,21,26000,2,1,2,3,1,1,3,2,7,3,2,1,1,1,4,2,7,6,6,7,7,1,1,6,3,6,5,1,7,7,6,4,7,4,6,3,2,4,3,5,Warrior Guild,35,2,5,4,1,3,6
male,NC,28,63000,3,6,6,3,4,2,3,4,4,7,3,3,2,3,1,5,5,3,4,1,3,2,2,4,3,5,5,2,4,5,4,2,2,1,1,3,3,5,4,1,Warrior Guild,55,5,1,6,4,2,3
female,FL,19,14000,6,3,4,7,7,4,6,5,5,4,3,6,5,6,7,4,5,2,5,7,5,5,4,5,7,3,5,5,5,6,1,3,3,6,6,6,4,2,1,7,Warrior Guild,29,3,2,1,4,6,5
male,NC,39,48000,5,5,2,1,6,6,3,6,1,4,2,1,5,4,3,1,1,6,4,2,3,3,4,3,2,3,3,3,3,2,6,5,7,2,1,3,1,2,1,2,Seraph Guardians,40,5,1,4,2,6,3
male,WI,18,11000,2,3,4,3,7,4,2,6,4,2,2,6,6,7,2,4,7,3,5,7,7,1,7,5,3,3,1,5,3,4,3,3,4,3,1,3,4,5,2,3,Evercrest,20,1,3,4,2,6,5
female,AR,43,76000,3,3,5,3,7,6,3,5,3,4,5,3,6,4,3,4,3,3,4,1,1,4,2,1,6,2,5,3,4,4,4,3,2,4,4,4,3,4,2,2,Evercrest,56,6,1,3,5,4,2
male,OH,18,6000,3,5,2,3,6,7,3,6,5,3,2,4,2,3,4,5,4,7,2,4,3,4,5,5,4,2,5,3,2,2,7,7,7,4,4,4,1,5,3,2,Warrior Guild,30,3,2,5,1,6,4
male,OH,23,44000,4,1,2,4,4,5,1,3,3,3,2,5,5,3,3,3,5,7,4,5,4,2,5,6,1,5,2,5,4,7,7,6,7,2,1,2,4,2,4,2,Seraph Guardians,42,2,4,3,1,6,5
female,IL,23,24000,4,3,2,3,5,5,5,4,7,2,4,5,5,4,2,2,7,3,7,5,7,5,7,6,6,6,5,3,7,6,4,3,4,2,3,5,3,3,4,3,Seraph Guardians,34,2,3,4,1,5,6
female,NM,19,12000,3,5,3,3,7,6,5,7,4,6,7,7,7,7,3,6,4,3,5,3,5,3,7,3,2,2,5,7,4,4,5,3,4,3,4,5,2,7,4,5,Evercrest,34,6,1,3,5,4,2
male,PA,21,56000,3,4,5,3,4,4,4,3,5,5,4,3,5,6,5,4,4,3,3,3,4,5,3,3,2,4,3,4,2,3,3,1,2,4,4,2,7,5,5,4,Seraph Guardians,54,4,1,3,5,6,2
male,GA,18,11000,6,2,4,4,6,6,3,5,7,4,1,4,5,7,4,3,5,2,5,5,6,3,5,7,6,6,4,6,7,5,3,1,4,5,3,5,5,2,4,3,Warrior Guild,29,1,4,3,2,6,5
male,TN,21,16000,1,3,1,1,2,4,3,2,4,3,2,2,3,2,2,1,5,6,4,6,6,2,3,4,3,2,3,3,3,7,5,5,4,3,4,3,3,1,1,3,Warrior Guild,29,2,6,3,1,5,4
male,MI,25,39000,7,3,4,5,3,1,5,2,1,3,3,3,2,3,3,5,2,4,2,2,1,3,4,3,2,3,2,3,4,1,4,6,3,3,4,4,2,6,2,2,Warrior Guild,36,5,1,4,6,3,2
male,IL,63,55000,1,6,2,3,4,4,3,5,2,6,3,7,7,6,3,7,5,2,1,4,1,3,6,2,3,1,3,6,1,6,3,2,2,3,5,3,2,2,3,4,Warrior Guild,43,5,1,4,6,3,2
male,NC,22,25000,7,3,7,7,5,5,7,3,3,4,3,2,2,3,5,3,5,3,5,4,5,5,4,3,6,4,6,4,2,6,3,3,3,6,7,6,7,2,6,7,Seraph Guardians,38,1,2,3,5,4,6
female,CT,41,67000,5,5,5,4,2,5,3,4,3,6,3,2,2,1,1,7,5,2,2,7,3,4,1,3,3,2,2,1,3,6,2,3,3,1,1,3,7,4,5,1,Evercrest,56,3,1,5,6,2,4
female,NC,18,13000,1,5,4,4,1,1,1,2,5,6,3,3,4,3,1,5,3,6,5,3,4,2,6,5,1,3,1,3,3,3,4,6,4,3,2,4,3,6,3,1,Warrior Guild,22,2,3,6,1,5,4
female,CA,28,73000,5,4,3,7,1,2,5,1,5,3,2,1,1,3,4,4,2,5,5,2,5,6,1,5,5,5,3,1,7,4,3,5,4,4,4,7,1,5,3,6,Evercrest,,1,4,5,2,3,6
female,CA,27,37000,7,6,2,7,3,2,5,2,3,5,4,1,1,3,2,5,3,2,3,3,3,3,1,2,3,5,5,1,4,3,2,2,1,2,5,6,3,4,1,2,Warrior Guild,45,3,1,4,6,2,5
male,NY,18,20000,6,3,4,6,5,2,6,5,6,2,4,3,2,4,3,1,5,3,7,3,5,7,5,5,6,4,7,4,5,5,4,5,5,4,4,7,4,3,4,3,Seraph Guardians,24,1,4,3,2,5,6
female,MI,36,66000,2,6,2,2,2,3,3,4,4,7,4,2,3,4,1,5,6,3,2,5,1,1,2,2,1,3,3,4,3,3,2,2,3,1,1,1,2,4,4,1,Warrior Guild,58,4,2,6,5,3,1
male,CA,18,18000,2,3,4,2,3,5,2,5,4,1,2,6,6,6,1,4,6,7,4,5,6,5,7,4,5,6,5,4,5,5,6,7,7,1,3,3,4,3,4,3,Warrior Guild,32,2,4,3,1,6,5
female,IL,34,120000,3,5,1,5,5,4,5,3,3,6,2,2,2,3,4,6,4,5,4,5,4,6,3,4,6,4,7,4,5,5,4,4,3,2,3,2,1,3,1,2,Warrior Guild,,4,1,6,2,3,5
female,OR,26,48000,5,2,6,3,6,5,4,7,5,5,7,6,6,6,2,5,7,5,1,4,5,3,7,3,3,2,4,5,1,3,2,4,6,1,4,5,5,6,5,4,Warrior Guild,56,4,1,3,6,5,2
female,AR,24,37000,4,7,5,4,6,4,4,4,5,7,4,3,4,4,3,7,3,4,2,3,4,3,5,5,6,1,5,5,2,4,4,3,4,3,4,4,3,2,2,1,Seraph Guardians,54,6,1,4,5,3,2
female,PA,43,80000,3,3,1,2,6,5,1,7,2,7,4,4,6,5,1,5,5,7,2,6,4,4,7,2,4,3,4,4,1,4,7,6,7,1,1,4,1,1,2,1,Warrior Guild,65,5,1,6,2,4,3
female,FL,30,42000,5,3,2,4,4,7,4,6,4,3,3,4,7,5,6,5,3,3,2,6,2,5,7,1,5,4,5,6,5,5,4,5,3,6,5,4,5,4,5,5,Evercrest,54,5,1,3,4,6,2
female,TX,19,20000,1,1,5,2,7,7,2,7,4,2,4,7,6,7,5,1,2,4,6,2,7,4,4,7,3,7,2,5,5,3,6,6,4,5,6,4,6,5,7,4,Seraph Guardians,42,2,5,1,4,6,3
male,NC,21,22000,7,6,1,7,3,2,5,3,5,4,3,3,1,2,6,4,4,4,2,3,4,6,5,5,7,3,6,2,2,3,2,1,3,2,5,5,2,2,1,6,Seraph Guardians,50,3,1,6,4,2,5
male,FL,21,23000,3,5,1,4,2,3,2,3,5,6,2,1,2,2,3,6,7,5,7,6,7,1,3,5,1,5,1,3,5,6,4,3,4,3,5,1,3,2,1,3,Warrior Guild,43,1,5,6,2,3,4
male,LA,20,16000,3,3,5,2,4,6,1,6,4,4,1,3,2,3,3,3,7,5,1,7,5,2,3,4,1,3,2,1,2,4,7,6,7,3,4,3,5,1,4,6,Warrior Guild,30,2,5,4,1,6,3
male,VA,38,89000,5,7,3,4,6,7,5,7,2,7,5,4,7,4,2,7,3,3,2,1,1,2,5,1,4,2,3,3,1,4,5,3,4,3,3,4,3,7,4,2,Evercrest,,5,1,4,6,3,2
male,MO,34,62000,6,5,3,7,4,3,7,2,4,3,4,2,4,1,1,5,4,3,4,7,1,5,1,3,5,5,6,2,5,5,3,4,4,1,1,6,4,4,4,1,Evercrest,47,3,1,5,4,2,6
male,IL,26,68000,3,5,1,5,6,4,3,6,7,5,2,4,4,4,3,5,5,6,3,6,5,3,4,4,5,4,4,2,5,5,5,6,6,3,2,4,1,1,1,4,Warrior Guild,63,2,3,4,1,5,6
male,FL,32,99000,6,3,1,4,3,4,5,2,3,5,2,1,2,2,2,4,5,2,1,5,1,6,2,1,6,2,5,3,1,4,4,2,2,5,5,5,1,5,1,5,Warrior Guild,75,5,2,6,3,1,4
female,OK,57,113000,3,3,1,3,4,4,3,4,1,5,1,2,1,1,1,4,4,5,5,5,2,4,1,3,3,3,2,1,4,6,5,3,5,1,1,3,1,1,3,1,Seraph Guardians,58,3,2,5,1,4,6
male,WI,22,23000,3,2,4,3,6,7,5,5,7,2,4,5,7,7,3,2,6,6,5,4,6,6,7,6,6,7,6,7,7,4,7,3,6,2,4,5,3,5,3,5,Seraph Guardians,48,4,2,3,1,6,5
female,MI,24,39000,6,5,3,5,3,3,6,4,5,3,1,3,3,3,2,3,3,5,3,4,6,5,5,5,4,4,6,5,2,4,2,4,5,1,1,5,1,3,2,2,Warrior Guild,38,1,3,5,2,4,6
male,OR,19,19000,3,3,2,4,3,3,3,6,7,4,4,3,3,4,4,4,7,4,6,7,7,1,2,7,1,5,2,5,6,6,7,7,6,2,3,3,2,3,3,3,Seraph Guardians,22,1,5,3,2,6,4
male,PA,33,53000,6,6,4,6,4,5,6,6,1,5,4,5,7,6,5,5,4,1,1,3,1,4,5,1,4,1,5,7,2,5,2,1,1,4,6,4,6,5,4,4,Evercrest,56,5,1,3,6,4,2
female,FL,36,97000,5,7,5,2,7,7,2,7,5,7,6,7,7,7,3,7,2,3,4,2,3,1,7,4,4,1,3,6,1,2,3,4,5,1,2,4,3,6,1,2,Evercrest,61,5,1,4,6,3,2
male,NJ,58,97000,1,3,5,1,5,5,3,6,2,7,6,5,5,6,3,6,3,2,3,5,2,4,5,2,4,5,4,5,4,6,3,3,3,4,1,2,4,6,2,1,Seraph Guardians,65,6,1,4,5,3,2
male,CA,29,79000,1,6,2,2,2,3,4,1,1,7,5,5,5,5,2,6,5,3,2,4,3,1,7,4,3,5,1,4,3,4,3,3,3,1,2,3,2,5,2,1,Evercrest,58,5,1,6,4,3,2
male,FL,21,34000,4,2,5,2,5,5,4,5,6,3,1,1,1,2,2,1,7,6,7,7,7,4,2,7,4,7,4,2,7,7,6,5,7,1,1,4,6,1,7,3,Warrior Guild,57,1,5,3,2,4,6
female,TX,28,55000,2,5,3,4,7,7,4,7,5,5,1,6,4,4,5,5,5,4,7,5,7,3,6,5,1,7,1,5,6,5,3,3,1,4,5,4,2,1,2,5,Warrior Guild,68,3,4,1,2,6,5
female,AZ,18,7000,2,1,2,1,5,5,2,7,4,1,1,4,3,2,4,1,3,4,5,4,4,1,4,1,3,5,2,4,5,1,3,3,4,4,4,3,1,2,2,5,Warrior Guild,13,3,5,1,2,6,4
male,CA,20,29000,1,1,1,1,3,5,1,3,6,2,1,2,3,3,3,3,7,6,4,7,5,3,3,4,2,5,2,3,5,7,6,5,5,2,3,3,4,1,2,5,Seraph Guardians,25,2,5,3,1,6,4
male,TX,22,45000,2,3,1,3,6,6,2,7,3,2,2,2,3,4,1,3,1,7,5,2,3,2,4,3,2,4,3,5,3,3,7,6,7,3,1,3,1,4,1,3,Seraph Guardians,60,4,1,3,2,6,5
female,WA,28,67000,6,4,3,7,1,1,5,2,3,3,4,4,5,4,3,4,6,2,2,6,4,1,4,5,1,4,2,5,2,5,3,3,2,3,5,3,3,5,1,2,Seraph Guardians,63,1,2,6,3,4,5
female,CO,22,25000,4,2,3,4,5,5,5,6,2,2,6,5,5,5,5,4,4,2,4,5,3,4,5,2,6,5,4,6,4,5,2,1,1,5,5,4,4,5,6,4,Seraph Guardians,27,4,1,2,6,5,3
female,IL,24,46000,4,4,4,4,2,2,4,1,3,7,5,4,5,5,2,6,3,3,3,3,3,2,7,4,3,3,4,4,2,2,5,3,2,4,2,4,2,5,3,2,Warrior Guild,44,5,1,4,6,3,2
female,MI,21,17000,5,4,2,2,7,7,2,7,5,3,2,6,5,5,4,3,2,4,6,1,4,6,7,5,4,5,4,6,6,2,2,4,5,4,6,3,3,1,2,4,Warrior Guild,23,5,2,1,4,6,3
male,ND,22,33000,5,2,4,3,5,3,6,5,2,4,3,3,4,1,3,4,5,5,5,4,5,5,2,4,5,4,5,1,4,5,4,2,4,3,2,7,5,4,5,2,Evercrest,31,2,3,5,1,4,6
male,OH,32,58000,3,7,1,3,7,7,4,7,3,7,5,3,5,5,3,6,5,3,3,3,3,7,4,3,6,3,2,3,1,4,3,3,2,3,4,3,2,3,4,5,Evercrest,43,6,1,3,5,4,2
female,NJ,18,15000,7,2,3,7,7,7,6,7,4,1,2,4,6,4,4,1,6,1,6,4,4,7,5,3,6,4,7,6,4,6,1,2,1,4,4,7,4,3,3,5,Seraph Guardians,46,3,1,2,4,5,6
female,KY,51,83000,7,5,1,5,5,4,5,4,2,4,2,2,4,4,3,6,4,4,4,5,2,3,5,1,5,2,4,4,2,5,4,7,5,2,3,5,1,2,1,5,Warrior Guild,53,6,1,5,3,2,4
female,TN,18,7000,6,1,4,7,3,3,6,4,5,1,4,4,5,6,2,1,5,2,3,4,6,5,4,7,7,6,7,3,4,3,3,4,5,2,2,5,4,5,5,2,Seraph Guardians,33,2,3,4,1,5,6
male,VA,21,40000,5,1,4,7,2,4,4,2,6,1,2,2,3,3,2,1,4,4,5,5,6,6,2,6,4,7,4,3,5,2,2,2,2,2,1,5,3,2,4,4,Seraph Guardians,39,1,4,3,2,5,6
male,IN,18,10000,1,4,4,2,5,5,3,5,5,1,6,1,1,1,3,2,4,5,5,4,5,1,1,6,1,5,2,1,2,3,7,5,6,3,4,1,4,7,4,1,Warrior Guild,22,3,4,5,2,6,1
male,CA,37,103000,6,4,3,6,6,5,6,3,2,4,5,3,2,4,4,5,2,3,4,3,3,7,4,4,5,4,7,4,5,3,1,3,4,5,5,7,1,6,1,5,Warrior Guild,,6,1,3,4,2,5
male,MI,27,48000,4,4,2,2,5,7,3,6,5,2,1,4,3,5,2,3,5,5,2,5,3,1,4,5,2,2,1,3,3,4,3,5,6,1,1,2,2,2,2,2,Seraph Guardians,51,2,1,5,4,6,3
male,CO,18,6000,6,4,5,7,7,7,7,7,4,3,3,3,6,4,7,5,5,3,5,5,6,5,3,3,4,3,5,4,1,6,3,3,2,7,7,5,4,4,3,7,Evercrest,25,4,1,3,6,5,2
male,HI,20,34000,3,4,1,1,3,7,3,7,5,3,5,4,5,2,6,2,5,5,4,4,6,3,4,6,5,5,2,3,5,4,6,5,6,5,3,2,2,5,3,4,Warrior Guild,37,2,3,5,1,6,4
male,IL,20,25000,4,4,4,3,7,7,5,7,5,5,5,5,5,5,1,3,1,3,7,1,7,7,2,5,3,6,4,6,7,1,2,2,5,2,2,5,3,3,4,1,Warrior Guild,36,5,2,1,4,6,3
female,IL,19,12000,5,6,1,4,7,5,4,4,5,4,6,5,4,2,5,4,6,3,4,5,5,4,4,4,4,4,4,5,2,6,4,5,4,5,4,3,2,4,2,2,Warrior Guild,33,2,1,6,4,3,5
